pupilid,schoolid,district,zone,tracking_assigned,tracking_actual,girl,w_correct,w_incorrect,w_missing,s_correct,s_incorrect,s_missing,a1_correct,a2_correct,a3_correct,a4_correct,a5_correct,a6_correct,a7_correct,a8_correct,spelling_correct,total_score,letter_grade,z_score,avg.yrstaught,total_math_score,d.zoneBUTERE EAST,d.zoneBUTERE WEST,d.zoneKABULA,d.zoneKHWISERO WEST,d.zoneMATUNGU,d.zoneMUMIAS EAST,d.zoneMUNICIPALITY,d.zoneSANGALO,d.zoneSOUTH WANGA
7781104,778,BUTERE/M,KHWISERO WEST,1,1,1,21,3,0,26,4,10,3,3,1,2,3,2,1,0,8,70,B,2.1925543,21.416667,16,0,0,0,1,0,0,0,0,0
7781114,778,BUTERE/M,KHWISERO WEST,1,1,0,21,3,0,12,3,25,3,3,1,2,1,0,1,0,6,50,C,0.96523786,21.416667,12,0,0,0,1,0,0,0,0,0
7861045,786,BUTERE/M,KHWISERO WEST,0,0,1,21,3,0,25,15,0,3,3,3,2,3,3,1,0,0,64,B,1.82435937,15.2,19,0,0,0,1,0,0,0,0,0
7891039,789,BUTERE/M,KHWISERO WEST,1,1,0,21,3,0,7,2,31,3,1,0,2,1,1,0,0,10,46,C,0.71977457,12.714286,8,0,0,0,1,0,0,0,0,0
7891066,789,BUTERE/M,KHWISERO WEST,1,1,0,21,3,0,9,0,31,3,3,1,2,0,1,0,0,1,41,C,0.41294546,12.714286,10,0,0,0,1,0,0,0,0,0
7891069,789,BUTERE/M,KHWISERO WEST,1,1,NA,21,3,0,9,0,31,3,3,1,2,3,1,1,0,7,51,C,1.02660368,12.714286,15,0,0,0,1,0,0,0,0,0
7891070,789,BUTERE/M,KHWISERO WEST,1,1,0,21,3,0,11,2,27,3,3,3,2,3,3,1,0,9,59,C,1.51753026,12.714286,19,0,0,0,1,0,0,0,0,0
7931002,793,BUTERE/M,KHWISERO WEST,0,1,0,21,3,0,16,3,21,3,3,3,2,2,2,0,2,9,63,B,1.76299355,8.928571,17,0,0,0,1,0,0,0,0,0
8581134,858,BUTERE/M,MATUNGU,1,1,1,21,3,0,13,4,23,3,1,1,2,2,1,0,0,10,54,C,1.21070115,10.202381,10,0,0,0,0,1,0,0,0,0
8581148,858,BUTERE/M,MATUNGU,1,1,1,21,3,0,14,9,17,3,2,2,0,3,2,1,0,7,55,C,1.27206697,10.202381,14,0,0,0,0,1,0,0,0,0
8581169,858,BUTERE/M,MATUNGU,1,0,1,21,3,0,25,2,13,2,3,2,2,2,2,0,0,9,68,B,2.06982266,10.202381,13,0,0,0,0,1,0,0,0,0
8581178,858,BUTERE/M,MATUNGU,1,1,1,21,3,0,8,2,30,3,3,3,3,0,2,1,0,9,53,C,1.14933533,10.202381,16,0,0,0,0,1,0,0,0,0
